number,value,datetime_start,datetime_complete,duration,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_rsm,params_scale_pos_weight,params_subsample,params_weighting_mode,user_attrs_mean_accuracy,user_attrs_param_sig,state
0,0.937728571428571,2025-11-09 00:11:25.066083,2025-11-09 01:47:53.672988,0 days 01:36:28.606905,113,5,26.5795887010697,0.0279798403242179,26,18.1915571558838,0.813926034152254,,0.94453512901578,auto_balanced,0.9377285714285714,95483059e059,COMPLETE
1,0.935742857142857,2025-11-09 01:47:58.124951,2025-11-09 02:10:57.275095,0 days 00:22:59.150144,59,9,2.03808814926318,0.158716795535691,158,28.1402805252018,0.844932594315236,,0.860254795357648,none,0.9357428571428572,1630c55b3928,COMPLETE
2,0.935185714285714,2025-11-09 02:11:01.666577,2025-11-09 02:33:33.598357,0 days 00:22:31.931780,52,10,2.23941164040664,0.243437220261108,73,23.4531627119028,0.710537818613459,0.722190094051321,0.867875249566245,scale_pos_weight,0.9351857142857142,1109c48efbd3,COMPLETE
3,0.937871428571428,2025-11-09 02:33:38.171782,2025-11-09 05:06:40.478742,0 days 02:33:02.306960,121,7,30.206492591943,0.0226940853071826,185,5.70427449106795,0.922629694300833,,0.886336894885607,auto_balanced,0.9378714285714285,18b850bd8929,COMPLETE
4,,2025-11-09 05:06:44.881016,,,92,9,6.4442977405058,0.0180322093125746,67,76.3020414337486,0.748667703220339,,0.946606416754852,auto_balanced,,8632d39b7b4d,RUNNING
5,0.936585714285714,2025-11-09 06:23:40.497798,2025-11-09 08:07:01.956286,0 days 01:43:21.458488,96,8,16.1174099972928,0.0433743163409882,49,47.99275477545,0.917561732952024,2.91882484590887,0.974991791702909,scale_pos_weight,0.9365857142857144,a113c27b4747,COMPLETE
6,0.937114285714286,2025-11-09 08:07:05.164603,2025-11-09 09:48:12.489797,0 days 01:41:07.325194,92,5,2.45784723111905,0.021053485979609,130,98.9456256547625,0.872101671141659,,0.98938631694934,none,0.9371142857142857,bd8bb8343b5d,COMPLETE
7,0.936857142857143,2025-11-09 09:48:15.625005,2025-11-09 10:27:05.037426,0 days 00:38:49.412421,36,5,2.05670375424121,0.0861838899643252,20,8.01586914638283,0.730601975931428,,0.912450349594146,none,0.9368571428571428,b78cf2ee05f2,COMPLETE
8,0.937485714285714,2025-11-09 10:27:08.174084,2025-11-09 12:11:04.986389,0 days 01:43:56.812305,83,6,31.6328776656777,0.0510794726594817,108,87.2993163553076,0.879396859031887,,0.886226369682325,auto_balanced,0.9374857142857141,c360887e3c86,COMPLETE
9,0.937285714285714,2025-11-09 12:31:03.706450,2025-11-09 13:01:41.008646,0 days 00:30:37.302196,73,7,9.79085141031245,0.173980339965772,12,78.9155829646433,0.827722370786401,,0.998214177896569,auto_balanced,,1962daf630cd,PRUNED
10,0.937528571428571,2025-11-09 13:01:42.683961,2025-11-09 13:43:25.037141,0 days 00:41:42.353180,113,5,1.79751196436636,0.103244815200888,95,79.620908600759,0.831576194198887,0.35964755087203,0.985165015162801,scale_pos_weight,0.9375285714285713,e0e2d2a30666,COMPLETE
11,0.937585714285714,2025-11-09 13:43:27.153228,2025-11-09 17:12:22.530522,0 days 03:28:55.377294,128,9,25.2854612119567,0.0271214165651374,185,8.88260425842605,0.893134138023013,,0.892277153803253,auto_balanced,0.9375857142857142,bd7521055980,COMPLETE
12,,2025-11-09 17:12:25.898897,,,124,5,19.6822110257045,0.0159020017674067,49,45.7611537472208,0.852653676469103,,0.942422503068432,auto_balanced,,730bb95bedc1,RUNNING
13,0.937014285714286,2025-11-09 18:31:25.306089,2025-11-09 20:03:59.069591,0 days 01:32:33.763502,126,5,9.2804092327954,0.0439583132568514,32,32.7044370421446,0.829695775263926,,0.940415641466056,auto_balanced,0.9370142857142858,44a5278d127f,COMPLETE
14,0.936814285714286,2025-11-09 20:04:00.738467,2025-11-09 21:42:31.202329,0 days 01:38:30.463862,111,5,14.1407205161097,0.0323364267548207,175,22.7424636412644,0.875138200171326,,0.925110194916933,auto_balanced,0.9368142857142857,301725a0ecaa,COMPLETE
15,0.935785714285714,2025-11-09 21:42:32.854797,2025-11-09 23:51:51.795303,0 days 02:09:18.940506,93,6,19.6121390809445,0.0152109010159852,121,6.22024691706072,0.942499468725953,1.20370711810427,0.875630764598786,scale_pos_weight,,c183ec06a5ce,PRUNED
16,,2025-11-09 23:51:53.348677,,,105,8,44.8243416048918,0.0768933213827156,41,1.01228385849911,0.744700644232254,,0.929409978485824,auto_balanced,,9d69c624d969,RUNNING
17,,2025-11-10 01:21:27.000499,,,107,5,29.5766960604588,0.0171072995603635,58,22.2320986878831,0.783376924851694,,0.984321584403954,none,,bec59c938f5e,RUNNING
